Magnitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Top_earthquake_states,1974_2003
Total,2342,2261,3876,2946,3550,3685,2783,2791,3618,4264,8444,Total,21080
8.0 to 9.9,0,0,0,0,0,0,0,0,0,0,0,AK,12053
7.0 to 7.9,0,1,1,2,0,1,0,1,0,0,1,CA,4895
6.0 to 6.9,6,5,4,7,2,4,7,9,9,4,8,HI,1533
5.0 t0 5.9,63,41,63,54,25,47,51,72,85,58,71,NE,778
4.0 to 4.9,281,290,536,541,284,345,346,366,432,289,648,WA,424
3.0 to 3.9,917,842,1535,1303,1362,1475,1213,1137,1486,1492,3581,ID,404
2.0 to 2.9,660,646,1228,704,1336,1738,1145,1173,1573,2380,4087,WY,217
1.0 to 1.9 ,0,2,2,2,1,2,7,11,13,26,37,MT,186
0.1 to 0.9,0,0,0,0,0,0,1,0,0,1,0,UT,139
No magnitude ,415,434,507,333,540,73,13,22,20,14,11,OR,73
